edge_id,from_node,to_node,mode,layer,base_time_hours,base_cost_yuan_per_two,base_risk,source_id,distance_km,seasonal_sensitive,daily_departures,schedule_wait_hours,schedule_id,model_option_role,quality_flag,local_shuttle_raw_cost_yuan_per_two,local_shuttle_cost_floor_yuan_per_two,cost_floor_applied,amap_edge_type,od_quality_note
AM0787,SPOT::P005,SPOT::P017,self_drive,road,8.593,430.46,0.33,AMAP_DISTANCE_API,782.646,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0788,SPOT::P006,SPOT::P017,self_drive,road,8.837,434.76,0.33,AMAP_DISTANCE_API,790.473,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0789,SPOT::P007,SPOT::P017,self_drive,road,17.273,762.11,0.33,AMAP_DISTANCE_API,1385.648,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0790,SPOT::P008,SPOT::P017,self_drive,road,0.819,29.72,0.058,AMAP_DISTANCE_API,54.044,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0791,SPOT::P009,SPOT::P017,self_drive,road,4.754,201.73,0.162,AMAP_DISTANCE_API,366.787,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0792,SPOT::P010,SPOT::P017,self_drive,road,3.955,149.7,0.131,AMAP_DISTANCE_API,272.189,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0793,SPOT::P011,SPOT::P017,self_drive,road,9.342,450.05,0.33,AMAP_DISTANCE_API,818.269,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0794,SPOT::P012,SPOT::P017,self_drive,road,8.658,433.47,0.33,AMAP_DISTANCE_API,788.121,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0795,SPOT::P013,SPOT::P017,self_drive,road,9.281,454.88,0.33,AMAP_DISTANCE_API,827.051,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0796,SPOT::P014,SPOT::P017,self_drive,road,0.597,19.1,0.052,AMAP_DISTANCE_API,34.719,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0797,SPOT::P015,SPOT::P017,self_drive,road,6.006,170.9,0.144,AMAP_DISTANCE_API,310.724,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0798,SPOT::P016,SPOT::P017,self_drive,road,5.216,208.83,0.167,AMAP_DISTANCE_API,379.698,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0799,SPOT::P018,SPOT::P017,self_drive,road,12.115,537.32,0.33,AMAP_DISTANCE_API,976.941,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0800,SPOT::P019,SPOT::P017,self_drive,road,11.574,528.0,0.33,AMAP_DISTANCE_API,960.005,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0801,SPOT::P020,SPOT::P017,self_drive,road,11.409,521.32,0.33,AMAP_DISTANCE_API,947.852,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0802,SPOT::P021,SPOT::P017,self_drive,road,11.91,578.5,0.33,AMAP_DISTANCE_API,1051.823,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0803,SPOT::P022,SPOT::P017,self_drive,road,9.242,455.62,0.33,AMAP_DISTANCE_API,828.395,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0804,SPOT::P023,SPOT::P017,self_drive,road,6.543,326.45,0.238,AMAP_DISTANCE_API,593.55,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0805,SPOT::P024,SPOT::P017,self_drive,road,17.242,761.41,0.33,AMAP_DISTANCE_API,1384.388,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0806,SPOT::P025,SPOT::P017,self_drive,road,17.207,761.07,0.33,AMAP_DISTANCE_API,1383.768,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0807,SPOT::P026,SPOT::P017,self_drive,road,17.114,760.76,0.33,AMAP_DISTANCE_API,1383.204,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0808,SPOT::P027,SPOT::P017,self_drive,road,20.004,862.38,0.33,AMAP_DISTANCE_API,1567.97,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0809,SPOT::P028,SPOT::P017,self_drive,road,21.377,917.35,0.33,AMAP_DISTANCE_API,1667.917,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0810,SPOT::P029,SPOT::P017,self_drive,road,9.19,346.89,0.29,AMAP_DISTANCE_API,630.703,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0811,SPOT::P030,SPOT::P017,self_drive,road,10.298,381.16,0.311,AMAP_DISTANCE_API,693.025,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0812,SPOT::P031,SPOT::P017,self_drive,road,10.482,391.06,0.317,AMAP_DISTANCE_API,711.024,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0813,SPOT::P032,SPOT::P017,self_drive,road,11.741,432.41,0.33,AMAP_DISTANCE_API,786.196,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0814,SPOT::P033,SPOT::P017,self_drive,road,6.015,242.56,0.187,AMAP_DISTANCE_API,441.014,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0815,SPOT::P034,SPOT::P017,self_drive,road,11.901,467.56,0.33,AMAP_DISTANCE_API,850.107,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0816,SPOT::P035,SPOT::P017,self_drive,road,8.586,439.22,0.33,AMAP_DISTANCE_API,798.59,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0817,SPOT::P036,SPOT::P017,self_drive,road,7.803,405.88,0.286,AMAP_DISTANCE_API,737.964,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0818,SPOT::P037,SPOT::P017,self_drive,road,18.291,740.07,0.33,AMAP_DISTANCE_API,1345.584,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0819,SPOT::P038,SPOT::P017,self_drive,road,18.512,680.79,0.33,AMAP_DISTANCE_API,1237.793,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0820,SPOT::P039,SPOT::P017,self_drive,road,18.407,740.84,0.33,AMAP_DISTANCE_API,1346.981,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0821,SPOT::P040,SPOT::P017,self_drive,road,18.667,815.06,0.33,AMAP_DISTANCE_API,1481.933,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0822,SPOT::P001,SPOT::P018,self_drive,road,8.795,371.19,0.305,AMAP_DISTANCE_API,674.896,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0823,SPOT::P002,SPOT::P018,self_drive,road,9.919,426.42,0.33,AMAP_DISTANCE_API,775.304,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0824,SPOT::P003,SPOT::P018,self_drive,road,11.396,493.11,0.33,AMAP_DISTANCE_API,896.559,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0825,SPOT::P004,SPOT::P018,self_drive,road,11.087,481.2,0.33,AMAP_DISTANCE_API,874.901,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0826,SPOT::P005,SPOT::P018,self_drive,road,11.101,479.23,0.33,AMAP_DISTANCE_API,871.327,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0827,SPOT::P006,SPOT::P018,self_drive,road,11.293,483.53,0.33,AMAP_DISTANCE_API,879.154,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0828,SPOT::P007,SPOT::P018,self_drive,road,22.193,1094.47,0.33,AMAP_DISTANCE_API,1989.95,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0829,SPOT::P008,SPOT::P018,self_drive,road,11.194,508.46,0.33,AMAP_DISTANCE_API,924.475,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0830,SPOT::P009,SPOT::P018,self_drive,road,13.397,477.95,0.33,AMAP_DISTANCE_API,868.996,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0831,SPOT::P010,SPOT::P018,self_drive,road,16.158,597.68,0.33,AMAP_DISTANCE_API,1086.691,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0832,SPOT::P011,SPOT::P018,self_drive,road,11.763,498.82,0.33,AMAP_DISTANCE_API,906.95,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0833,SPOT::P012,SPOT::P018,self_drive,road,11.184,482.24,0.33,AMAP_DISTANCE_API,876.802,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0834,SPOT::P013,SPOT::P018,self_drive,road,11.736,503.65,0.33,AMAP_DISTANCE_API,915.732,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0835,SPOT::P014,SPOT::P018,self_drive,road,11.971,541.7,0.33,AMAP_DISTANCE_API,984.915,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0836,SPOT::P015,SPOT::P018,self_drive,road,18.164,618.87,0.33,AMAP_DISTANCE_API,1125.226,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0837,SPOT::P016,SPOT::P018,self_drive,road,17.439,656.81,0.33,AMAP_DISTANCE_API,1194.2,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0838,SPOT::P017,SPOT::P018,self_drive,road,11.403,522.61,0.33,AMAP_DISTANCE_API,950.193,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0839,SPOT::P019,SPOT::P018,self_drive,road,2.609,54.36,0.073,AMAP_DISTANCE_API,98.836,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0840,SPOT::P020,SPOT::P018,self_drive,road,1.129,20.95,0.053,AMAP_DISTANCE_API,38.095,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0841,SPOT::P021,SPOT::P018,self_drive,road,7.846,261.25,0.198,AMAP_DISTANCE_API,475.006,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0842,SPOT::P022,SPOT::P018,self_drive,road,3.18,87.37,0.093,AMAP_DISTANCE_API,158.853,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0843,SPOT::P023,SPOT::P018,self_drive,road,5.822,206.57,0.165,AMAP_DISTANCE_API,375.585,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0844,SPOT::P024,SPOT::P018,self_drive,road,22.097,1093.78,0.33,AMAP_DISTANCE_API,1988.69,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0845,SPOT::P025,SPOT::P018,self_drive,road,22.088,1093.44,0.33,AMAP_DISTANCE_API,1988.07,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0846,SPOT::P026,SPOT::P018,self_drive,road,22.052,1093.13,0.33,AMAP_DISTANCE_API,1987.506,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0847,SPOT::P027,SPOT::P018,self_drive,road,24.948,1194.75,0.33,AMAP_DISTANCE_API,2172.272,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0848,SPOT::P028,SPOT::P018,self_drive,road,26.363,1249.72,0.33,AMAP_DISTANCE_API,2272.219,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0849,SPOT::P029,SPOT::P018,self_drive,road,17.004,597.94,0.33,AMAP_DISTANCE_API,1087.163,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0850,SPOT::P030,SPOT::P018,self_drive,road,15.29,706.97,0.33,AMAP_DISTANCE_API,1285.393,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0851,SPOT::P031,SPOT::P018,self_drive,road,18.311,642.12,0.33,AMAP_DISTANCE_API,1167.484,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0852,SPOT::P032,SPOT::P018,self_drive,road,13.32,557.02,0.33,AMAP_DISTANCE_API,1012.772,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0853,SPOT::P033,SPOT::P018,self_drive,road,13.854,493.61,0.33,AMAP_DISTANCE_API,897.474,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0854,SPOT::P034,SPOT::P018,self_drive,road,13.32,592.18,0.33,AMAP_DISTANCE_API,1076.683,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0855,SPOT::P035,SPOT::P018,self_drive,road,10.378,460.54,0.33,AMAP_DISTANCE_API,837.354,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0856,SPOT::P036,SPOT::P018,self_drive,road,9.842,427.2,0.33,AMAP_DISTANCE_API,776.728,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0857,SPOT::P037,SPOT::P018,self_drive,road,23.621,1062.94,0.33,AMAP_DISTANCE_API,1932.614,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0858,SPOT::P038,SPOT::P018,self_drive,road,20.98,903.27,0.33,AMAP_DISTANCE_API,1642.314,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0859,SPOT::P039,SPOT::P018,self_drive,road,23.715,1063.71,0.33,AMAP_DISTANCE_API,1934.011,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0860,SPOT::P040,SPOT::P018,self_drive,road,23.685,1147.43,0.33,AMAP_DISTANCE_API,2086.235,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0861,SPOT::P001,SPOT::P019,self_drive,road,8.413,368.66,0.303,AMAP_DISTANCE_API,670.295,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0862,SPOT::P002,SPOT::P019,self_drive,road,9.578,423.89,0.33,AMAP_DISTANCE_API,770.703,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0863,SPOT::P003,SPOT::P019,self_drive,road,11.041,490.58,0.33,AMAP_DISTANCE_API,891.958,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0864,SPOT::P004,SPOT::P019,self_drive,road,10.74,478.66,0.33,AMAP_DISTANCE_API,870.3,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0865,SPOT::P005,SPOT::P019,self_drive,road,10.754,476.7,0.33,AMAP_DISTANCE_API,866.726,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0866,SPOT::P006,SPOT::P019,self_drive,road,10.943,481.0,0.33,AMAP_DISTANCE_API,874.553,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0867,SPOT::P007,SPOT::P019,self_drive,road,21.879,1091.94,0.33,AMAP_DISTANCE_API,1985.349,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0868,SPOT::P008,SPOT::P019,self_drive,road,10.814,505.93,0.33,AMAP_DISTANCE_API,919.874,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0869,SPOT::P009,SPOT::P019,self_drive,road,13.051,475.42,0.33,AMAP_DISTANCE_API,864.395,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0870,SPOT::P010,SPOT::P019,self_drive,road,15.88,595.15,0.33,AMAP_DISTANCE_API,1082.09,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0871,SPOT::P011,SPOT::P019,self_drive,road,11.415,496.29,0.33,AMAP_DISTANCE_API,902.349,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0872,SPOT::P012,SPOT::P019,self_drive,road,10.83,479.71,0.33,AMAP_DISTANCE_API,872.201,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0873,SPOT::P013,SPOT::P019,self_drive,road,11.387,501.12,0.33,AMAP_DISTANCE_API,911.131,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0874,SPOT::P014,SPOT::P019,self_drive,road,11.586,539.17,0.33,AMAP_DISTANCE_API,980.314,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0875,SPOT::P015,SPOT::P019,self_drive,road,17.894,616.34,0.33,AMAP_DISTANCE_API,1120.625,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0876,SPOT::P016,SPOT::P019,self_drive,road,17.143,654.28,0.33,AMAP_DISTANCE_API,1189.599,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0877,SPOT::P017,SPOT::P019,self_drive,road,11.002,520.08,0.33,AMAP_DISTANCE_API,945.592,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0878,SPOT::P018,SPOT::P019,self_drive,road,4.028,97.81,0.099,AMAP_DISTANCE_API,177.841,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0879,SPOT::P020,SPOT::P019,self_drive,road,3.166,81.81,0.09,AMAP_DISTANCE_API,148.752,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0880,SPOT::P021,SPOT::P019,self_drive,road,8.646,248.45,0.231,AMAP_DISTANCE_API,451.724,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0881,SPOT::P022,SPOT::P019,self_drive,road,2.79,84.84,0.091,AMAP_DISTANCE_API,154.252,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0882,SPOT::P023,SPOT::P019,self_drive,road,5.434,204.04,0.164,AMAP_DISTANCE_API,370.984,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0883,SPOT::P024,SPOT::P019,self_drive,road,21.846,1091.25,0.33,AMAP_DISTANCE_API,1984.089,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0884,SPOT::P025,SPOT::P019,self_drive,road,21.823,1090.91,0.33,AMAP_DISTANCE_API,1983.469,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0885,SPOT::P026,SPOT::P019,self_drive,road,21.751,1090.6,0.33,AMAP_DISTANCE_API,1982.905,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0886,SPOT::P027,SPOT::P019,self_drive,road,24.599,1192.22,0.33,AMAP_DISTANCE_API,2167.671,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0887,SPOT::P028,SPOT::P019,self_drive,road,25.969,1247.19,0.33,AMAP_DISTANCE_API,2267.618,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0888,SPOT::P029,SPOT::P019,self_drive,road,16.676,595.41,0.33,AMAP_DISTANCE_API,1082.562,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0889,SPOT::P030,SPOT::P019,self_drive,road,14.946,704.44,0.33,AMAP_DISTANCE_API,1280.792,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0890,SPOT::P031,SPOT::P019,self_drive,road,17.953,639.59,0.33,AMAP_DISTANCE_API,1162.883,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0891,SPOT::P032,SPOT::P019,self_drive,road,12.906,554.49,0.33,AMAP_DISTANCE_API,1008.171,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0892,SPOT::P033,SPOT::P019,self_drive,road,13.527,491.08,0.33,AMAP_DISTANCE_API,892.873,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0893,SPOT::P034,SPOT::P019,self_drive,road,12.967,589.65,0.33,AMAP_DISTANCE_API,1072.082,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0894,SPOT::P035,SPOT::P019,self_drive,road,10.042,458.01,0.33,AMAP_DISTANCE_API,832.753,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0895,SPOT::P036,SPOT::P019,self_drive,road,9.467,424.67,0.33,AMAP_DISTANCE_API,772.127,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0896,SPOT::P037,SPOT::P019,self_drive,road,23.199,1060.41,0.33,AMAP_DISTANCE_API,1928.013,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0897,SPOT::P038,SPOT::P019,self_drive,road,20.544,900.74,0.33,AMAP_DISTANCE_API,1637.713,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0898,SPOT::P039,SPOT::P019,self_drive,road,23.308,1061.18,0.33,AMAP_DISTANCE_API,1929.41,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0899,SPOT::P040,SPOT::P019,self_drive,road,23.304,1144.9,0.33,AMAP_DISTANCE_API,2081.634,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0900,SPOT::P001,SPOT::P020,self_drive,road,8.315,362.29,0.3,AMAP_DISTANCE_API,658.704,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0901,SPOT::P002,SPOT::P020,self_drive,road,9.457,417.51,0.33,AMAP_DISTANCE_API,759.112,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0902,SPOT::P003,SPOT::P020,self_drive,road,10.967,484.2,0.33,AMAP_DISTANCE_API,880.367,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0903,SPOT::P004,SPOT::P020,self_drive,road,10.647,472.29,0.33,AMAP_DISTANCE_API,858.709,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0904,SPOT::P005,SPOT::P020,self_drive,road,10.651,470.32,0.33,AMAP_DISTANCE_API,855.135,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0905,SPOT::P006,SPOT::P020,self_drive,road,10.887,474.63,0.33,AMAP_DISTANCE_API,862.962,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0906,SPOT::P007,SPOT::P020,self_drive,road,21.695,1085.57,0.33,AMAP_DISTANCE_API,1973.758,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0907,SPOT::P008,SPOT::P020,self_drive,road,10.673,499.56,0.33,AMAP_DISTANCE_API,908.283,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0908,SPOT::P009,SPOT::P020,self_drive,road,13.003,469.04,0.33,AMAP_DISTANCE_API,852.804,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0909,SPOT::P010,SPOT::P020,self_drive,road,15.716,588.77,0.33,AMAP_DISTANCE_API,1070.499,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0910,SPOT::P011,SPOT::P020,self_drive,road,11.355,489.92,0.33,AMAP_DISTANCE_API,890.758,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0911,SPOT::P012,SPOT::P020,self_drive,road,10.73,473.34,0.33,AMAP_DISTANCE_API,860.61,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0912,SPOT::P013,SPOT::P020,self_drive,road,11.32,494.75,0.33,AMAP_DISTANCE_API,899.54,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0913,SPOT::P014,SPOT::P020,self_drive,road,11.458,532.8,0.33,AMAP_DISTANCE_API,968.723,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0914,SPOT::P015,SPOT::P020,self_drive,road,17.722,609.97,0.33,AMAP_DISTANCE_API,1109.034,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0915,SPOT::P016,SPOT::P020,self_drive,road,17.004,647.9,0.33,AMAP_DISTANCE_API,1178.008,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0916,SPOT::P017,SPOT::P020,self_drive,road,10.881,513.7,0.33,AMAP_DISTANCE_API,934.001,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0917,SPOT::P018,SPOT::P020,self_drive,road,0.858,17.23,0.05,AMAP_DISTANCE_API,31.335,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0918,SPOT::P019,SPOT::P020,self_drive,road,3.375,81.74,0.09,AMAP_DISTANCE_API,148.627,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0919,SPOT::P021,SPOT::P020,self_drive,road,7.301,252.35,0.193,AMAP_DISTANCE_API,458.814,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0920,SPOT::P022,SPOT::P020,self_drive,road,2.755,78.46,0.088,AMAP_DISTANCE_API,142.661,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0921,SPOT::P023,SPOT::P020,self_drive,road,5.404,197.67,0.16,AMAP_DISTANCE_API,359.393,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0922,SPOT::P024,SPOT::P020,self_drive,road,21.666,1084.87,0.33,AMAP_DISTANCE_API,1972.498,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0923,SPOT::P025,SPOT::P020,self_drive,road,21.649,1084.53,0.33,AMAP_DISTANCE_API,1971.878,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0924,SPOT::P026,SPOT::P020,self_drive,road,21.559,1084.22,0.33,AMAP_DISTANCE_API,1971.314,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0925,SPOT::P027,SPOT::P020,self_drive,road,24.448,1185.84,0.33,AMAP_DISTANCE_API,2156.08,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0926,SPOT::P028,SPOT::P020,self_drive,road,25.818,1240.81,0.33,AMAP_DISTANCE_API,2256.027,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0927,SPOT::P029,SPOT::P020,self_drive,road,16.611,589.03,0.33,AMAP_DISTANCE_API,1070.971,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0928,SPOT::P030,SPOT::P020,self_drive,road,14.836,698.06,0.33,AMAP_DISTANCE_API,1269.201,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0929,SPOT::P031,SPOT::P020,self_drive,road,17.912,633.21,0.33,AMAP_DISTANCE_API,1151.292,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0930,SPOT::P032,SPOT::P020,self_drive,road,12.859,548.12,0.33,AMAP_DISTANCE_API,996.58,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0931,SPOT::P033,SPOT::P020,self_drive,road,13.439,484.71,0.33,AMAP_DISTANCE_API,881.282,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0932,SPOT::P034,SPOT::P020,self_drive,road,12.966,583.27,0.33,AMAP_DISTANCE_API,1060.491,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0933,SPOT::P035,SPOT::P020,self_drive,road,9.983,451.64,0.33,AMAP_DISTANCE_API,821.162,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0934,SPOT::P036,SPOT::P020,self_drive,road,9.355,418.29,0.33,AMAP_DISTANCE_API,760.536,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0935,SPOT::P037,SPOT::P020,self_drive,road,23.071,1054.03,0.33,AMAP_DISTANCE_API,1916.422,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0936,SPOT::P038,SPOT::P020,self_drive,road,20.418,894.37,0.33,AMAP_DISTANCE_API,1626.122,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0937,SPOT::P039,SPOT::P020,self_drive,road,23.173,1054.8,0.33,AMAP_DISTANCE_API,1917.819,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0938,SPOT::P040,SPOT::P020,self_drive,road,23.172,1138.52,0.33,AMAP_DISTANCE_API,2070.043,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0939,SPOT::P001,SPOT::P021,self_drive,road,5.226,255.82,0.195,AMAP_DISTANCE_API,465.136,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0940,SPOT::P002,SPOT::P021,self_drive,road,6.861,343.87,0.248,AMAP_DISTANCE_API,625.212,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0941,SPOT::P003,SPOT::P021,self_drive,road,8.53,410.56,0.329,AMAP_DISTANCE_API,746.467,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0942,SPOT::P004,SPOT::P021,self_drive,road,8.191,398.64,0.322,AMAP_DISTANCE_API,724.809,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0943,SPOT::P005,SPOT::P021,self_drive,road,8.213,396.68,0.32,AMAP_DISTANCE_API,721.235,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0944,SPOT::P006,SPOT::P021,self_drive,road,8.452,400.98,0.323,AMAP_DISTANCE_API,729.062,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0945,SPOT::P007,SPOT::P021,self_drive,road,19.683,1015.27,0.33,AMAP_DISTANCE_API,1845.939,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0946,SPOT::P008,SPOT::P021,self_drive,road,10.619,565.21,0.33,AMAP_DISTANCE_API,1027.655,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0947,SPOT::P009,SPOT::P021,self_drive,road,13.107,541.75,0.33,AMAP_DISTANCE_API,985.0,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0948,SPOT::P010,SPOT::P021,self_drive,road,15.548,654.43,0.33,AMAP_DISTANCE_API,1189.871,False,,,,,,,,,spot_to_spot,amap_distance_api
AM0949,SPOT::P011,SPOT::P021,self_drive,road,8.908,416.27,0.33,AMAP_DISTANCE_API,756.858,False,,,,,,,,,spot_to_spot,amap_distance_api
